"user_id","visit_id","event_name","sequence_number","event_time","page_name","product_category"
5,"f61ed7","Page View",3,"2020-02-01 06:31:07.364658","Kingfish","Fish"
5,"f61ed7","Page View",4,"2020-02-01 06:31:29.54382","Abalone","Shellfish"
5,"f61ed7","Page View",5,"2020-02-01 06:31:44.967397","Lobster","Shellfish"
5,"f61ed7","Add to Cart",6,"2020-02-01 06:32:39.425798","Lobster","Shellfish"
5,"f61ed7","Page View",7,"2020-02-01 06:33:33.068154","Crab","Shellfish"
5,"f61ed7","Add to Cart",8,"2020-02-01 06:33:40.811923","Crab","Shellfish"
5,"f61ed7","Page View",9,"2020-02-01 06:34:26.510623","Oyster","Shellfish"
5,"f61ed7","Page View",10,"2020-02-01 06:34:48.74886","Checkout",NULL
5,"f61ed7","Purchase",11,"2020-02-01 06:35:37.730703","Confirmation",NULL
6,"e0ce49","Page View",1,"2020-01-25 22:43:21.482933","Home Page",NULL
6,"e0ce49","Page View",2,"2020-01-25 22:44:13.045517","All Products",NULL
6,"e0ce49","Page View",3,"2020-01-25 22:44:36.389008","Tuna","Fish"
6,"e0ce49","Add to Cart",4,"2020-01-25 22:45:13.949207","Tuna","Fish"
6,"e0ce49","Page View",5,"2020-01-25 22:46:07.060046","Russian Caviar","Luxury"
6,"e0ce49","Page View",6,"2020-01-25 22:46:57.057053","Abalone","Shellfish"
6,"e0ce49","Page View",7,"2020-01-25 22:47:06.641395","Lobster","Shellfish"
6,"e0ce49","Add to Cart",8,"2020-01-25 22:47:26.459918","Lobster","Shellfish"
6,"e0ce49","Page View",9,"2020-01-25 22:47:49.388223","Crab","Shellfish"
6,"e0ce49","Page View",10,"2020-01-25 22:48:14.396058","Oyster","Shellfish"
6,"e0ce49","Add to Cart",11,"2020-01-25 22:48:43.041422","Oyster","Shellfish"
6,"e0ce49","Page View",12,"2020-01-25 22:49:13.988901","Checkout",NULL
6,"e0ce49","Purchase",13,"2020-01-25 22:49:37.372524","Confirmation",NULL
7,"8479c1","Page View",1,"2020-02-09 17:27:58.86766","Home Page",NULL
7,"8479c1","Page View",2,"2020-02-09 17:28:19.121935","All Products",NULL
7,"8479c1","Page View",3,"2020-02-09 17:29:04.117961","Lobster","Shellfish"
7,"8479c1","Page View",4,"2020-02-09 17:29:53.831275","Oyster","Shellfish"
7,"8479c1","Add to Cart",5,"2020-02-09 17:30:37.055533","Oyster","Shellfish"
7,"8479c1","Page View",6,"2020-02-09 17:31:23.897656","Checkout",NULL
7,"8479c1","Purchase",7,"2020-02-09 17:31:44.111949","Confirmation",NULL
8,"a6c424","Page View",1,"2020-02-12 11:23:54.788493","Home Page",NULL
8,"a6c424","Page View",2,"2020-02-12 11:24:31.817736","All Products",NULL
8,"a6c424","Page View",3,"2020-02-12 11:25:02.767972","Tuna","Fish"
8,"a6c424","Add to Cart",4,"2020-02-12 11:25:46.300856","Tuna","Fish"
8,"a6c424","Page View",5,"2020-02-12 11:26:35.253811","Black Truffle","Luxury"
8,"a6c424","Page View",6,"2020-02-12 11:27:15.405177","Lobster","Shellfish"
8,"a6c424","Page View",7,"2020-02-12 11:28:06.3453","Crab","Shellfish"
8,"a6c424","Page View",8,"2020-02-12 11:28:25.279665","Oyster","Shellfish"
8,"a6c424","Add to Cart",9,"2020-02-12 11:29:18.892281","Oyster","Shellfish"
9,"5ef346","Page View",1,"2020-02-07 17:32:44.707846","Home Page",NULL
9,"5ef346","Page View",2,"2020-02-07 17:33:12.180627","All Products",NULL
9,"5ef346","Page View",3,"2020-02-07 17:33:43.016425","Salmon","Fish"
9,"5ef346","Page View",4,"2020-02-07 17:33:44.69966","Kingfish","Fish"
9,"5ef346","Page View",5,"2020-02-07 17:34:02.558855","Tuna","Fish"
9,"5ef346","Page View",6,"2020-02-07 17:34:23.327758","Russian Caviar","Luxury"
9,"5ef346","Page View",7,"2020-02-07 17:34:35.345732","Oyster","Shellfish"
10,"d39d35","Page View",1,"2020-01-23 21:47:03.576066","Home Page",NULL
10,"d39d35","Page View",2,"2020-01-23 21:47:26.31721","All Products",NULL
10,"d39d35","Page View",3,"2020-01-23 21:47:33.352359","Salmon","Fish"
10,"d39d35","Page View",4,"2020-01-23 21:47:48.935208","Kingfish","Fish"
10,"d39d35","Add to Cart",5,"2020-01-23 21:48:06.468956","Kingfish","Fish"
10,"d39d35","Page View",6,"2020-01-23 21:48:56.594073","Russian Caviar","Luxury"
10,"d39d35","Add to Cart",7,"2020-01-23 21:49:00.300961","Russian Caviar","Luxury"
10,"d39d35","Page View",8,"2020-01-23 21:49:40.667053","Lobster","Shellfish"
10,"d39d35","Add to Cart",9,"2020-01-23 21:50:38.725028","Lobster","Shellfish"
10,"d39d35","Page View",10,"2020-01-23 21:51:14.109932","Checkout",NULL
10,"d39d35","Purchase",11,"2020-01-23 21:51:22.420869","Confirmation",NULL
11,"9c2633","Page View",1,"2020-01-17 04:59:43.046418","Home Page",NULL
11,"9c2633","Page View",2,"2020-01-17 05:00:12.080309","All Products",NULL
11,"9c2633","Page View",3,"2020-01-17 05:00:57.913348","Kingfish","Fish"
11,"9c2633","Add to Cart",4,"2020-01-17 05:01:05.620304","Kingfish","Fish"
11,"9c2633","Page View",5,"2020-01-17 05:01:23.203653","Black Truffle","Luxury"
11,"9c2633","Page View",6,"2020-01-17 05:02:19.898546","Abalone","Shellfish"
11,"9c2633","Page View",7,"2020-01-17 05:02:46.527259","Lobster","Shellfish"
11,"9c2633","Add to Cart",8,"2020-01-17 05:03:14.58197","Lobster","Shellfish"
11,"9c2633","Page View",9,"2020-01-17 05:03:14.96522","Crab","Shellfish"
11,"9c2633","Page View",10,"2020-01-17 05:03:40.920901","Oyster","Shellfish"
12,"d69e73","Page View",1,"2020-02-06 09:09:05.908878","Home Page",NULL
12,"d69e73","Page View",2,"2020-02-06 09:10:00.887631","Kingfish","Fish"
12,"d69e73","Page View",3,"2020-02-06 09:11:00.353528","Tuna","Fish"
12,"d69e73","Page View",4,"2020-02-06 09:11:27.119921","Lobster","Shellfish"
12,"d69e73","Add to Cart",5,"2020-02-06 09:11:47.981352","Lobster","Shellfish"
12,"d69e73","Page View",6,"2020-02-06 09:12:15.152894","Checkout",NULL
13,"c70085","Page View",1,"2020-02-12 08:26:14.018589","Home Page",NULL
13,"c70085","Page View",2,"2020-02-12 08:26:22.66126","All Products",NULL
13,"c70085","Page View",3,"2020-02-12 08:27:06.68193","Kingfish","Fish"
13,"c70085","Page View",4,"2020-02-12 08:27:30.701165","Tuna","Fish"
13,"c70085","Page View",5,"2020-02-12 08:28:04.595837","Crab","Shellfish"
13,"c70085","Add to Cart",6,"2020-02-12 08:28:52.242217","Crab","Shellfish"
13,"c70085","Page View",7,"2020-02-12 08:28:53.270139","Checkout",NULL
14,"6a20a3","Page View",1,"2020-01-12 02:49:32.092947","Home Page",NULL
14,"6a20a3","Page View",2,"2020-01-12 02:50:10.86433","All Products",NULL
14,"6a20a3","Page View",3,"2020-01-12 02:51:01.655328","Salmon","Fish"
14,"6a20a3","Add to Cart",4,"2020-01-12 02:51:09.753574","Salmon","Fish"
14,"6a20a3","Page View",5,"2020-01-12 02:51:14.213414","Tuna","Fish"
14,"6a20a3","Page View",6,"2020-01-12 02:52:02.560126","Russian Caviar","Luxury"
14,"6a20a3","Page View",7,"2020-01-12 02:52:17.094098","Crab","Shellfish"
14,"6a20a3","Page View",8,"2020-01-12 02:52:57.031077","Oyster","Shellfish"
14,"6a20a3","Page View",9,"2020-01-12 02:52:59.643379","Checkout",NULL
15,"4b5d1b","Page View",1,"2020-01-28 04:56:41.29408","Home Page",NULL
15,"4b5d1b","Page View",2,"2020-01-28 04:57:15.797744","All Products",NULL
15,"4b5d1b","Page View",3,"2020-01-28 04:57:24.349407","Salmon","Fish"
15,"4b5d1b","Add to Cart",4,"2020-01-28 04:57:30.125256","Salmon","Fish"
15,"4b5d1b","Page View",5,"2020-01-28 04:58:05.239156","Lobster","Shellfish"
15,"4b5d1b","Add to Cart",6,"2020-01-28 04:58:53.582952","Lobster","Shellfish"
15,"4b5d1b","Page View",7,"2020-01-28 04:59:11.343632","Oyster","Shellfish"
15,"4b5d1b","Page View",8,"2020-01-28 05:00:02.54472","Checkout",NULL
15,"4b5d1b","Purchase",9,"2020-01-28 05:00:57.529188","Confirmation",NULL
16,"69440b","Page View",1,"2020-01-06 21:45:50.948835","Home Page",NULL
16,"69440b","Page View",2,"2020-01-06 21:46:36.30509","All Products",NULL
16,"69440b","Page View",3,"2020-01-06 21:46:42.014651","Oyster","Shellfish"
16,"69440b","Add to Cart",4,"2020-01-06 21:47:10.846217","Oyster","Shellfish"
16,"69440b","Page View",5,"2020-01-06 21:47:52.127691","Checkout",NULL
16,"69440b","Purchase",6,"2020-01-06 21:48:34.834957","Confirmation",NULL
17,"e70fd5","Page View",1,"2020-02-17 10:05:50.894637","Home Page",NULL
17,"e70fd5","Page View",2,"2020-02-17 10:06:36.737304","All Products",NULL
17,"e70fd5","Page View",3,"2020-02-17 10:06:53.764928","Kingfish","Fish"
17,"e70fd5","Add to Cart",4,"2020-02-17 10:07:51.061105","Kingfish","Fish"
17,"e70fd5","Page View",5,"2020-02-17 10:08:06.935513","Russian Caviar","Luxury"
17,"e70fd5","Add to Cart",6,"2020-02-17 10:09:04.536992","Russian Caviar","Luxury"
17,"e70fd5","Page View",7,"2020-02-17 10:09:50.987371","Lobster","Shellfish"
17,"e70fd5","Page View",8,"2020-02-17 10:10:26.393753","Oyster","Shellfish"
17,"e70fd5","Page View",9,"2020-02-17 10:11:16.562551","Checkout",NULL
18,"48810d","Page View",1,"2020-02-29 15:26:40.947095","Home Page",NULL
18,"48810d","Page View",2,"2020-02-29 15:27:14.792315","All Products",NULL
18,"48810d","Page View",3,"2020-02-29 15:27:52.875685","Abalone","Shellfish"
18,"48810d","Page View",4,"2020-02-29 15:28:27.524633","Lobster","Shellfish"
19,"fdf383","Page View",1,"2020-02-11 13:52:24.211825","Home Page",NULL
19,"fdf383","Page View",2,"2020-02-11 13:53:23.842767","All Products",NULL
19,"fdf383","Page View",3,"2020-02-11 13:53:23.899118","Salmon","Fish"
19,"fdf383","Add to Cart",4,"2020-02-11 13:54:01.355168","Salmon","Fish"
19,"fdf383","Page View",5,"2020-02-11 13:54:48.452227","Kingfish","Fish"
19,"fdf383","Page View",6,"2020-02-11 13:55:00.70358","Tuna","Fish"
19,"fdf383","Page View",7,"2020-02-11 13:55:39.379189","Russian Caviar","Luxury"
19,"fdf383","Page View",8,"2020-02-11 13:56:06.155978","Checkout",NULL
19,"fdf383","Purchase",9,"2020-02-11 13:56:47.90472","Confirmation",NULL
20,"378a75","Page View",1,"2020-02-12 23:33:50.816642","Home Page",NULL
20,"378a75","Page View",2,"2020-02-12 23:34:08.899141","All Products",NULL
20,"378a75","Page View",3,"2020-02-12 23:34:55.184939","Abalone","Shellfish"
20,"378a75","Page View",4,"2020-02-12 23:35:03.237855","Lobster","Shellfish"
21,"a67606","Page View",1,"2020-02-14 21:10:08.838252","Home Page",NULL
21,"a67606","Page View",2,"2020-02-14 21:10:26.159489","Kingfish","Fish"
21,"a67606","Page View",3,"2020-02-14 21:11:20.464873","Abalone","Shellfish"
21,"a67606","Page View",4,"2020-02-14 21:12:17.518529","Lobster","Shellfish"
21,"a67606","Add to Cart",5,"2020-02-14 21:13:01.756609","Lobster","Shellfish"
21,"a67606","Page View",6,"2020-02-14 21:13:28.57594","Checkout",NULL
21,"a67606","Purchase",7,"2020-02-14 21:14:06.143987","Confirmation",NULL
22,"71740f","Page View",1,"2020-02-08 21:30:48.985777","Home Page",NULL
22,"71740f","Page View",2,"2020-02-08 21:31:07.102895","All Products",NULL
22,"71740f","Page View",3,"2020-02-08 21:32:06.252986","Kingfish","Fish"
22,"71740f","Add to Cart",4,"2020-02-08 21:32:44.043535","Kingfish","Fish"
22,"71740f","Page View",5,"2020-02-08 21:33:02.141059","Tuna","Fish"
22,"71740f","Page View",6,"2020-02-08 21:33:53.147475","Russian Caviar","Luxury"
22,"71740f","Page View",7,"2020-02-08 21:34:02.611086","Black Truffle","Luxury"
22,"71740f","Add to Cart",8,"2020-02-08 21:34:03.684007","Black Truffle","Luxury"
22,"71740f","Page View",9,"2020-02-08 21:34:24.003705","Abalone","Shellfish"
22,"71740f","Add to Cart",10,"2020-02-08 21:35:01.597757","Abalone","Shellfish"
22,"71740f","Page View",11,"2020-02-08 21:35:13.696946","Lobster","Shellfish"
22,"71740f","Add to Cart",12,"2020-02-08 21:35:49.810941","Lobster","Shellfish"
22,"71740f","Page View",13,"2020-02-08 21:35:55.57263","Crab","Shellfish"
22,"71740f","Add to Cart",14,"2020-02-08 21:36:09.114777","Crab","Shellfish"
22,"71740f","Page View",15,"2020-02-08 21:36:29.066529","Oyster","Shellfish"
22,"71740f","Add to Cart",16,"2020-02-08 21:36:43.915368","Oyster","Shellfish"
22,"71740f","Page View",17,"2020-02-08 21:37:38.073044","Checkout",NULL
22,"71740f","Purchase",18,"2020-02-08 21:38:14.384829","Confirmation",NULL
23,"d7fa36","Page View",1,"2020-01-16 22:30:01.781","Home Page",NULL
23,"d7fa36","Page View",2,"2020-01-16 22:30:52.624379","All Products",NULL
23,"d7fa36","Page View",3,"2020-01-16 22:31:12.357021","Kingfish","Fish"
23,"d7fa36","Page View",4,"2020-01-16 22:31:24.092845","Tuna","Fish"
23,"d7fa36","Page View",5,"2020-01-16 22:31:33.690926","Lobster","Shellfish"
24,"2a5092","Page View",1,"2020-01-23 20:05:46.748733","Home Page",NULL
24,"2a5092","Page View",2,"2020-01-23 20:06:45.365631","Salmon","Fish"
24,"2a5092","Page View",3,"2020-01-23 20:07:09.764502","Kingfish","Fish"
24,"2a5092","Add to Cart",4,"2020-01-23 20:07:28.434555","Kingfish","Fish"
24,"2a5092","Page View",5,"2020-01-23 20:07:50.625356","Lobster","Shellfish"
24,"2a5092","Add to Cart",6,"2020-01-23 20:08:44.853286","Lobster","Shellfish"
24,"2a5092","Page View",7,"2020-01-23 20:08:57.937689","Crab","Shellfish"
24,"2a5092","Add to Cart",8,"2020-01-23 20:09:48.333546","Crab","Shellfish"
24,"2a5092","Page View",9,"2020-01-23 20:10:40.948346","Oyster","Shellfish"
24,"2a5092","Page View",10,"2020-01-23 20:11:39.011841","Checkout",NULL
24,"2a5092","Purchase",11,"2020-01-23 20:11:43.709463","Confirmation",NULL
25,"ce1b65","Page View",1,"2020-01-08 18:34:24.082895","Home Page",NULL
25,"ce1b65","Page View",2,"2020-01-08 18:35:23.241017","All Products",NULL
25,"ce1b65","Page View",3,"2020-01-08 18:36:13.358878","Kingfish","Fish"
25,"ce1b65","Add to Cart",4,"2020-01-08 18:36:44.905584","Kingfish","Fish"
25,"ce1b65","Page View",5,"2020-01-08 18:36:51.611039","Tuna","Fish"
25,"ce1b65","Page View",6,"2020-01-08 18:36:53.320521","Black Truffle","Luxury"
25,"ce1b65","Add to Cart",7,"2020-01-08 18:37:32.256924","Black Truffle","Luxury"
25,"ce1b65","Page View",8,"2020-01-08 18:38:11.678928","Abalone","Shellfish"
25,"ce1b65","Page View",9,"2020-01-08 18:38:13.007925","Lobster","Shellfish"
25,"ce1b65","Add to Cart",10,"2020-01-08 18:38:57.83428","Lobster","Shellfish"
25,"ce1b65","Page View",11,"2020-01-08 18:39:53.40204","Oyster","Shellfish"
25,"ce1b65","Page View",12,"2020-01-08 18:40:09.495547","Checkout",NULL
25,"ce1b65","Purchase",13,"2020-01-08 18:40:31.620629","Confirmation",NULL
26,"8bfa80","Page View",1,"2020-01-26 20:57:16.531533","Home Page",NULL
26,"8bfa80","Page View",2,"2020-01-26 20:57:30.72916","All Products",NULL
26,"8bfa80","Page View",3,"2020-01-26 20:57:32.87345","Salmon","Fish"
26,"8bfa80","Add to Cart",4,"2020-01-26 20:57:52.12501","Salmon","Fish"
26,"8bfa80","Page View",5,"2020-01-26 20:58:13.386788","Russian Caviar","Luxury"
26,"8bfa80","Page View",6,"2020-01-26 20:58:26.638894","Abalone","Shellfish"
26,"8bfa80","Add to Cart",7,"2020-01-26 20:58:46.119458","Abalone","Shellfish"
26,"8bfa80","Page View",8,"2020-01-26 20:59:05.73844","Crab","Shellfish"
27,"37c63a","Page View",1,"2020-01-31 11:10:22.629494","Home Page",NULL
27,"37c63a","Page View",2,"2020-01-31 11:11:04.391341","Salmon","Fish"
27,"37c63a","Add to Cart",3,"2020-01-31 11:11:54.668494","Salmon","Fish"
27,"37c63a","Page View",4,"2020-01-31 11:12:44.738062","Russian Caviar","Luxury"
27,"37c63a","Page View",5,"2020-01-31 11:12:53.863979","Lobster","Shellfish"
27,"37c63a","Add to Cart",6,"2020-01-31 11:13:01.507129","Lobster","Shellfish"
27,"37c63a","Page View",7,"2020-01-31 11:13:04.368514","Crab","Shellfish"
27,"37c63a","Page View",8,"2020-01-31 11:13:10.070933","Oyster","Shellfish"
27,"37c63a","Add to Cart",9,"2020-01-31 11:13:13.311684","Oyster","Shellfish"
27,"37c63a","Page View",10,"2020-01-31 11:13:17.208624","Checkout",NULL
27,"37c63a","Purchase",11,"2020-01-31 11:13:31.09669","Confirmation",NULL
28,"32a3fc","Page View",1,"2020-02-29 02:02:48.883437","Home Page",NULL
28,"32a3fc","Page View",2,"2020-02-29 02:03:20.222426","All Products",NULL
28,"32a3fc","Page View",3,"2020-02-29 02:04:00.638628","Salmon","Fish"
28,"32a3fc","Page View",4,"2020-02-29 02:04:49.671549","Kingfish","Fish"
28,"32a3fc","Page View",5,"2020-02-29 02:05:09.212041","Tuna","Fish"
28,"32a3fc","Add to Cart",6,"2020-02-29 02:05:21.160444","Tuna","Fish"
28,"32a3fc","Page View",7,"2020-02-29 02:06:03.266493","Black Truffle","Luxury"
28,"32a3fc","Add to Cart",8,"2020-02-29 02:06:10.857614","Black Truffle","Luxury"
28,"32a3fc","Page View",9,"2020-02-29 02:06:23.502862","Abalone","Shellfish"
28,"32a3fc","Page View",10,"2020-02-29 02:06:49.908697","Crab","Shellfish"
28,"32a3fc","Page View",11,"2020-02-29 02:07:32.96808","Checkout",NULL
28,"32a3fc","Purchase",12,"2020-02-29 02:07:52.581584","Confirmation",NULL
29,"0813d2","Page View",1,"2020-01-10 12:01:39.723646","Home Page",NULL
29,"0813d2","Page View",2,"2020-01-10 12:02:34.694713","All Products",NULL
29,"0813d2","Page View",3,"2020-01-10 12:02:59.95531","Salmon","Fish"
29,"0813d2","Add to Cart",4,"2020-01-10 12:03:24.20834","Salmon","Fish"
29,"0813d2","Page View",5,"2020-01-10 12:03:31.543153","Kingfish","Fish"
29,"0813d2","Add to Cart",6,"2020-01-10 12:04:19.218216","Kingfish","Fish"
29,"0813d2","Page View",7,"2020-01-10 12:05:06.076636","Russian Caviar","Luxury"
29,"0813d2","Add to Cart",8,"2020-01-10 12:05:36.002339","Russian Caviar","Luxury"
29,"0813d2","Page View",9,"2020-01-10 12:05:50.762377","Abalone","Shellfish"
29,"0813d2","Page View",10,"2020-01-10 12:06:13.247649","Lobster","Shellfish"
29,"0813d2","Page View",11,"2020-01-10 12:06:36.827474","Checkout",NULL
29,"0813d2","Purchase",12,"2020-01-10 12:07:26.648881","Confirmation",NULL
30,"cd512e","Page View",1,"2020-02-02 01:54:14.713832","Home Page",NULL
30,"cd512e","Page View",2,"2020-02-02 01:54:33.16769","Salmon","Fish"
30,"cd512e","Add to Cart",3,"2020-02-02 01:55:25.698466","Salmon","Fish"
30,"cd512e","Page View",4,"2020-02-02 01:56:16.139298","Russian Caviar","Luxury"
30,"cd512e","Page View",5,"2020-02-02 01:56:51.88124","Black Truffle","Luxury"
30,"cd512e","Add to Cart",6,"2020-02-02 01:57:17.009883","Black Truffle","Luxury"
30,"cd512e","Page View",7,"2020-02-02 01:57:42.354067","Checkout",NULL
30,"cd512e","Purchase",8,"2020-02-02 01:58:02.614488","Confirmation",NULL
31,"d193fc","Page View",1,"2020-02-13 18:54:53.544665","Home Page",NULL
31,"d193fc","Page View",2,"2020-02-13 18:55:15.518477","Kingfish","Fish"
31,"d193fc","Page View",3,"2020-02-13 18:55:24.517397","Tuna","Fish"
31,"d193fc","Add to Cart",4,"2020-02-13 18:56:12.183548","Tuna","Fish"
31,"d193fc","Page View",5,"2020-02-13 18:56:12.43574","Russian Caviar","Luxury"
31,"d193fc","Page View",6,"2020-02-13 18:56:42.247455","Abalone","Shellfish"
31,"d193fc","Add to Cart",7,"2020-02-13 18:57:19.379645","Abalone","Shellfish"
31,"d193fc","Page View",8,"2020-02-13 18:57:45.773043","Crab","Shellfish"
31,"d193fc","Page View",9,"2020-02-13 18:58:25.213467","Oyster","Shellfish"
32,"4c98cd","Page View",1,"2020-02-17 22:10:30.714261","Home Page",NULL
32,"4c98cd","Page View",2,"2020-02-17 22:10:47.796673","Kingfish","Fish"
32,"4c98cd","Add to Cart",3,"2020-02-17 22:11:46.94049","Kingfish","Fish"
32,"4c98cd","Page View",4,"2020-02-17 22:11:49.016464","Black Truffle","Luxury"
32,"4c98cd","Page View",5,"2020-02-17 22:12:01.245325","Oyster","Shellfish"
32,"4c98cd","Add to Cart",6,"2020-02-17 22:12:48.870791","Oyster","Shellfish"
32,"4c98cd","Page View",7,"2020-02-17 22:13:00.529696","Checkout",NULL
32,"4c98cd","Purchase",8,"2020-02-17 22:13:17.635849","Confirmation",NULL
33,"8d7256","Page View",1,"2020-02-03 13:00:48.917482","Home Page",NULL
33,"8d7256","Page View",2,"2020-02-03 13:01:17.332978","All Products",NULL
33,"8d7256","Page View",3,"2020-02-03 13:02:11.96766","Salmon","Fish"
33,"8d7256","Add to Cart",4,"2020-02-03 13:02:13.977298","Salmon","Fish"
33,"8d7256","Page View",5,"2020-02-03 13:02:38.836246","Abalone","Shellfish"
33,"8d7256","Add to Cart",6,"2020-02-03 13:03:05.557892","Abalone","Shellfish"
33,"8d7256","Page View",7,"2020-02-03 13:03:51.809355","Oyster","Shellfish"
34,"97cca6","Page View",1,"2020-02-24 07:27:19.727667","Home Page",NULL
34,"97cca6","Page View",2,"2020-02-24 07:27:51.987858","All Products",NULL
34,"97cca6","Page View",3,"2020-02-24 07:28:23.283688","Kingfish","Fish"
34,"97cca6","Page View",4,"2020-02-24 07:28:50.347108","Tuna","Fish"
34,"97cca6","Add to Cart",5,"2020-02-24 07:29:38.925099","Tuna","Fish"
34,"97cca6","Page View",6,"2020-02-24 07:30:04.298648","Black Truffle","Luxury"
34,"97cca6","Page View",7,"2020-02-24 07:30:51.881743","Abalone","Shellfish"
34,"97cca6","Add to Cart",8,"2020-02-24 07:31:14.991994","Abalone","Shellfish"
34,"97cca6","Page View",9,"2020-02-24 07:32:13.249051","Lobster","Shellfish"
34,"97cca6","Add to Cart",10,"2020-02-24 07:32:20.737546","Lobster","Shellfish"
34,"97cca6","Page View",11,"2020-02-24 07:32:36.869984","Crab","Shellfish"
34,"97cca6","Add to Cart",12,"2020-02-24 07:32:42.917328","Crab","Shellfish"
34,"97cca6","Page View",13,"2020-02-24 07:33:11.277259","Checkout",NULL
34,"97cca6","Purchase",14,"2020-02-24 07:33:55.226269","Confirmation",NULL
35,"6baa37","Page View",1,"2020-01-22 01:09:59.482433","Home Page",NULL
35,"6baa37","Page View",2,"2020-01-22 01:10:20.7825","All Products",NULL
35,"6baa37","Page View",3,"2020-01-22 01:10:31.643956","Salmon","Fish"
35,"6baa37","Add to Cart",4,"2020-01-22 01:11:06.752753","Salmon","Fish"
35,"6baa37","Page View",5,"2020-01-22 01:12:00.048042","Kingfish","Fish"
35,"6baa37","Page View",6,"2020-01-22 01:12:26.860699","Lobster","Shellfish"
35,"6baa37","Add to Cart",7,"2020-01-22 01:12:31.564125","Lobster","Shellfish"
35,"6baa37","Page View",8,"2020-01-22 01:12:44.593997","Crab","Shellfish"
35,"6baa37","Add to Cart",9,"2020-01-22 01:13:29.75697","Crab","Shellfish"
35,"6baa37","Page View",10,"2020-01-22 01:14:25.423766","Checkout",NULL
35,"6baa37","Purchase",11,"2020-01-22 01:14:58.172677","Confirmation",NULL
36,"64fca2","Page View",1,"2020-02-14 18:08:54.505384","Home Page",NULL
36,"64fca2","Page View",2,"2020-02-14 18:08:55.660304","All Products",NULL
